State,District,Tehsil,Block,GramPanchayat,NyayPanchayat,Village,Latitude,Longitude
Andhra Pradesh_2024,Sri Sathya Sai,Lepakshi,Lepakshi,Lepakshi,Lepakshi,264965,13.80569,77.60291
Andhra Pradesh_2024,Sri Sathya Sai,Chilamathur,Chilamathur,Chilamathur,Chilamathur,261884,13.83735,77.70052
Andhra Pradesh_2024,Sri Sathya Sai,Kothacheruvu,Kesapuram,Kesapuram,Kothacheruvu,264111,14.21906,77.72517
Andhra Pradesh_2024,Sri Sathya Sai,Kothacheruvu,Thalamarala,Talamarla,Kothacheruvu,268240,14.21916,77.72505
Andhra Pradesh_2024,Vizianagaram,Rajam,,Rajam,Rajam,267236,18.44712,83.67299
Andhra Pradesh_2024,Chittoor,Yadamarri,,Yadamari,Yadamarri,269357,13.16172,79.03949
Andhra Pradesh_2024,Chittoor,Yadamarri,,184.Gollapalle,Yadamarri,260563,13.14027,79.0264
Andhra Pradesh_2024,Sri Sathya Sai,Kothacheruvu,Bandlapalli,Bandlapalle,Kothacheruvu,261177,14.13328,77.69291
Andhra Pradesh_2024,Sri Sathya Sai,Chilamathur,Chilamathur,Veerapuram,Chilamathur,269019,13.76667,77.71412
Andhra Pradesh_2024,Chittoor,Chittoor,,Thenebanda,Chittoor,268417,13.21838,79.09135
Andhra Pradesh_2024,Tirupati,Renigunta,,Karakambadi,Renigunta,263951,13.66927,79.50699
Andhra Pradesh_2024,NTR,Nandigama,NANDIGAMA,Nandigama (U)(P),Nandigama,265944,16.78769,80.27477
Andhra Pradesh_2024,Tirupati,Renigunta,,Annasanipalle,Renigunta,260898,13.64248,79.49527
Andhra Pradesh_2024,Vizianagaram,Pusapatirega,,Kopperla,Pusapatirega,264458,18.06722,83.53145
Andhra Pradesh_2024,Vizianagaram,Pusapatirega,,Kopperla,Pusapatirega,,18.06718,83.53145
Andhra Pradesh_2024,Vizianagaram,Pusapatirega,,Govindapuram,Pusapatirega,263058,18.09205,83.60536
Andhra Pradesh_2024,Vizianagaram,Pusapatirega,,Alladapalem,Pusapatirega,260711,18.14235,83.62099
Andhra Pradesh_2024,NTR,Chandarlapadu,NANDIGAMA,Chandarlapadu,Chandarlapadu,261688,16.70182,80.20064
Andhra Pradesh_2024,NTR,Chandarlapadu,NANDIGAMA,Chintalapadu,Chandarlapadu,262066,16.6462,80.27959
Andhra Pradesh_2024,Vizianagaram,Denkada,,Denkada,Denkada,262330,18.07873,83.45843
Andhra Pradesh_2024,Srikakulam,Srikakulam,,Pathasrikakulam (Rural),Srikakulam,,18.27408,83.90572
Andhra Pradesh_2024,Guntur,Tenali,,Angalakuduru,Tenali,260859,16.23895,80.63292
Andhra Pradesh_2024,Guntur,Tenali,,Chinaravuru,Tenali,261967,16.22698,80.65183
Andhra Pradesh_2024,Guntur,Tenali,,Tenali(U),Tenali,268331,16.25317,80.643
Andhra Pradesh_2024,Guntur,Chebrolu,,Chebrole,Chebrolu,261735,16.23708,80.55758
Andhra Pradesh_2024,Y.S.R. Kadapa,Chapad,,Vedurur,Chapad,268989,14.6578,78.66425
Andhra Pradesh_2024,Y.S.R. Kadapa,Chapad,,Chapad,Chapad,261709,14.72707,78.65029
Andhra Pradesh_2024,Srikakulam,Srikakulam,,Chintada,Srikakulam,262050,18.39003,83.90106
Andhra Pradesh_2024,Srikakulam,Amadalavalasa,,Munagavalasa,Amadalavalasa,265703,18.40292,83.90583
Andhra Pradesh_2024,Srikakulam,Amadalavalasa,,Amadalavalasa (M),Amadalavalasa,260744,18.39863,83.91877
Andhra Pradesh_2024,Srikakulam,Amadalavalasa,,Thimmapuram,Amadalavalasa,268442,18.43385,83.88224
Andhra Pradesh_2024,Srikakulam,Burja,,Issadivalasa,Burja,263378,18.5588,83.81687
Andhra Pradesh_2024,Srikakulam,Burja,,Kollivalasa,Burja,264249,18.50488,83.83036
Andhra Pradesh_2024,Tirupati,Srikalahasti,,Kapugunneri,Srikalahasti,263939,13.72284,79.65131
Andhra Pradesh_2024,Y.S.R. Kadapa,Vemula,,Vemula,Vemula,269115,14.37212,78.32857
Andhra Pradesh_2024,Y.S.R. Kadapa,Vemula,,Nallacheruvupalle,Vemula,,14.37072,78.32983
Andhra Pradesh_2024,Y.S.R. Kadapa,Chinthakommadinne,,Chintakommadinne,Chinthakommadinne,262053,14.43954,78.80318
Andhra Pradesh_2024,Srikakulam,Amadalavalasa,,Chinnajonnavalasa,Amadalavalasa,262004,18.39801,83.89707
Andhra Pradesh_2024,Srikakulam,Srikakulam,,Ragolu,Srikakulam,267224,18.3447,83.89041
Andhra Pradesh_2024,Srikakulam,Srikakulam,,Balaga (Rural),Srikakulam,261116,18.31434,83.88719
Andhra Pradesh_2024,Srikakulam,Srikakulam,,Pathasrikakulam (Rural),Srikakulam,266566,18.27245,83.90172
Andhra Pradesh_2024,Sri Sathya Sai,Hindupur,Hindupur,Thumukunta,Hindupur,268563,13.73103,77.49926
Andhra Pradesh_2024,Sri Sathya Sai,Hindupur,Hindupur,Hindupur,Hindupur,263298,13.8129,77.48732
Andhra Pradesh_2024,Kakinada,Peddapuram,,Peddapuram,Peddapuram,266757,17.0746,82.14644
Andhra Pradesh_2024,NTR,Reddigudem,Redigudem,Rangapuram,Reddigudem,267392,16.85131,80.72665
Andhra Pradesh_2024,Sri Sathya Sai,Hindupur,Hindupur,Hindupur,Hindupur,263298,13.83241,77.49394
Andhra Pradesh_2024,Srikakulam,Sompeta,Sompeta,Koralam,Sompeta,264467,18.90342,84.56089
Andhra Pradesh_2024,Srikakulam,Sompeta,,Koralam,Sompeta,264467,18.90343,84.56088
Andhra Pradesh_2024,Kakinada,Peddapuram,,Peddapuram,Peddapuram,266757,17.07402,82.14592
Andhra Pradesh_2024,NTR,Reddigudem,,Reddigudem,Reddigudem,267479,16.8711,80.73356
Andhra Pradesh_2024,Kakinada,Peddapuram,,Peddapuram,Peddapuram,266757,17.07497,82.14354
Andhra Pradesh_2024,Sri Sathya Sai,Hindupur,Hindupur,Hindupur,Hindupur,263298,13.83902,77.4866
Andhra Pradesh_2024,NTR,Vissannapet,,Vissannapet,Vissannapet,269301,16.94954,80.77441
Andhra Pradesh_2024,Srikakulam,Sompeta,Sompeta,Sompeta (Ct),Sompeta,268027,18.94442,84.58482
Andhra Pradesh_2024,Srikakulam,Sompeta,Sompeta,Sompeta (Ct),Sompeta,268027,18.9445,84.58481
Andhra Pradesh_2024,Srikakulam,Sompeta,Sompeta,Sompeta (Ct),Sompeta,268027,18.94433,84.58498
Andhra Pradesh_2024,Srikakulam,Sompeta,Sompeta,Sompeta (Ct),Sompeta,268027,18.94434,84.58502
Andhra Pradesh_2024,Kakinada,Peddapuram,,Valuthimmapuram,Peddapuram,268874,17.07401,82.11449
Andhra Pradesh_2024,Kakinada,Peddapuram,,Peddapuram,Peddapuram,266757,17.08079,82.14322
Andhra Pradesh_2024,Kakinada,Peddapuram,,Peddapuram,Peddapuram,266757,17.08063,82.14372
Andhra Pradesh_2024,Kakinada,Peddapuram,,Rayabhupalapatnam,Peddapuram,267456,17.04675,82.12104
Andhra Pradesh_2024,Kakinada,Peddapuram,,Peddapuram,Peddapuram,266757,17.08373,82.12613
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichapuram,Bellupada,Ichchapuram,261269,19.10245,84.6806
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichapuram,Bellupada,Ichchapuram,261269,19.10242,84.68062
Andhra Pradesh_2024,Kakinada,Peddapuram,,Peddapuram,Peddapuram,266757,17.08489,82.12784
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichcha piram,Bellupada,Ichchapuram,261269,19.10463,84.68211
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichchapuram,Bellupada,Ichchapuram,261269,19.10462,84.68208
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichapuram,Aminsahebpeta,Ichchapuram,260784,19.11353,84.6834
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichchapuram,Aminsahebpeta,Ichchapuram,260784,19.11354,84.68346
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichcha piram,Aminsahebpeta,Ichchapuram,260784,19.11334,84.68355
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichapuram,Aminsahebpeta,Ichchapuram,260784,19.11341,84.68365
Andhra Pradesh_2024,Kakinada,Samalkota,,Samalkota,Samalkota,267617,17.05429,82.17515
Andhra Pradesh_2024,Srikakulam,Ichchapuram,?????????,Aminsahebpeta,Ichchapuram,260784,19.14115,84.69551
Andhra Pradesh_2024,Srikakulam,Ichchapuram,Ichapuram,Aminsahebpeta,Ichchapuram,260784,19.14116,84.69548
Andhra Pradesh_2024,Kakinada,Samalkota,,Samalkota,Samalkota,267617,17.05603,82.16213
Andhra Pradesh_2024,Kakinada,Samalkota,,Samalkota,Samalkota,267617,17.05884,82.17
Andhra Pradesh_2024,Sri Sathya Sai,Dharmavaram,R&b,Regatipalle,Dharmavaram,267501,14.41313,77.71584
Andhra Pradesh_2024,Kakinada,Samalkota,,Samalkota,Samalkota,267617,17.06331,82.17754
Andhra Pradesh_2024,Annamayya,B.Kothakota,,B.Kothakota,B.Kothakota,261075,13.65814,78.27128
Andhra Pradesh_2024,Sri Sathya Sai,Dharmavaram,Mg,Pothulanagepalle,Dharmavaram,267023,14.39184,77.70731
Andhra Pradesh_2024,Kakinada,Pithapuram,,Kandarada,Pithapuram,263867,17.10312,82.22151
Andhra Pradesh_2024,Annamayya,Pedda Thippasamudram,,,Pedda Thippasamudram,,13.68174,78.13493
Andhra Pradesh_2024,Kakinada,Kothapalle,,Kothapalle,Kothapalle,264583,17.0922,82.31399
Andhra Pradesh_2024,Kakinada,Kothapalle,,Kothapalle,Kothapalle,264583,17.0903,82.3147
Andhra Pradesh_2024,Annamayya,Pedda Thippasamudram,,Kandukuru,Pedda Thippasamudram,263879,13.7613,78.15922
Andhra Pradesh_2024,Y.S.R. Kadapa,Jammalamadugu,Jammalamadugu,Jammalamadugu (NP),Jammalamadugu,263496,14.8451,78.3833
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Kumbaranagehalli,Gudibanda,264761,14.01987,77.09695
Andhra Pradesh_2024,Annamayya,Pedda Thippasamudram,,Peddathippasamudram,Pedda Thippasamudram,266771,13.71321,78.21394
Andhra Pradesh_2024,Y.S.R. Kadapa,Khajipet,,Khajipet Sunkesula,Khajipet,264131,14.6462,78.76094
Andhra Pradesh_2024,Kakinada,Pithapuram,,Pithapuram,Pithapuram,266920,17.10951,82.25385
Andhra Pradesh_2024,Kakinada,Pithapuram,,Pithapuram,Pithapuram,266920,17.111,82.25515
Andhra Pradesh_2024,Kakinada,Pithapuram,,Pithapuram,Pithapuram,266920,17.11273,82.25649
Andhra Pradesh_2024,NTR,Penuganchiprolu,NANDIGAMA,Nawabpeta,Penuganchiprolu,266055,16.83367,80.23244
Andhra Pradesh_2024,Sri Sathya Sai,Amarapuram,,Amarapuram,Amarapuram,260754,14.11832,76.98157
Andhra Pradesh_2024,Kakinada,Pithapuram,,Pithapuram,Pithapuram,266920,17.10977,82.26391
Andhra Pradesh_2024,Sri Sathya Sai,Amarapuram,,Amarapuram,Amarapuram,260754,14.11836,76.98151
Andhra Pradesh_2024,Kakinada,Pithapuram,,Pithapuram,Pithapuram,266920,17.11779,82.25298
Andhra Pradesh_2024,Y.S.R. Kadapa,Chennur,,Chennur,Chennur,261823,14.55655,78.79477
Andhra Pradesh_2024,Tirupati,Srikalahasti,,Srikalahasti,Srikalahasti,268063,13.75735,79.70106
Andhra Pradesh_2024,Annamayya,Mulakalacheruvu,,Cowdasamuram,Mulakalacheruvu,,13.85486,78.32829
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Jaggayyapeta (U),Jaggayyapeta,263454,16.89412,80.11205
Andhra Pradesh_2024,Kakinada,Pithapuram,,Pithapuram,Pithapuram,266920,17.11933,82.2512
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Jaggayyapeta (U),Jaggayyapeta,263454,16.8928,80.0979
Andhra Pradesh_2024,Sri Sathya Sai,Amarapuram,,Hemavathi,Amarapuram,263294,14.02822,76.99043
Andhra Pradesh_2024,Sri Sathya Sai,Amarapuram,,Hemavathi,Amarapuram,263294,14.02824,76.9904
Andhra Pradesh_2024,Kakinada,Pithapuram,,Agraharam,Pithapuram,260639,17.12992,82.25351
Andhra Pradesh_2024,Annamayya,Mulakalacheruvu,,Molakalacheruvu,Mulakalacheruvu,265574,13.79419,78.27388
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Jaggayyapeta (U),Jaggayyapeta,263454,16.8952,80.09636
Andhra Pradesh_2024,Kakinada,Pithapuram,,Pithapuram,Pithapuram,266920,17.12944,82.2558
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Jaggayyapeta (U),Jaggayyapeta,263454,16.88975,80.09102
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Morubagal,Gudibanda,265599,13.97764,77.04066
Andhra Pradesh_2024,Annamayya,Mulakalacheruvu,,Burakayalakota,Mulakalacheruvu,261600,13.73352,78.3402
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Balusupadu,Jaggayyapeta,261149,16.90136,80.07978
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Morubagal,Gudibanda,265599,13.97765,77.04065
Andhra Pradesh_2024,Kakinada,Gollaprolu,,Gollaprolu,Gollaprolu,262936,17.1471,82.27906
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Jaggayyapeta (U),Jaggayyapeta,263454,16.90098,80.10078
Andhra Pradesh_2024,Annamayya,B.Kothakota,,Kotavooru,B.Kothakota,264541,13.6889,78.4079
Andhra Pradesh_2024,Kakinada,Gollaprolu,,Gollaprolu,Gollaprolu,262936,17.15722,82.2892
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Mandalahalli,Gudibanda,265260,13.93973,77.10503
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Jaggayyapeta (U),Jaggayyapeta,263454,16.90501,80.10153
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Mandalahalli,Gudibanda,265260,13.93975,77.10503
Andhra Pradesh_2024,Kakinada,Gollaprolu,,Chebrolu,Gollaprolu,261736,17.19246,82.30879
Andhra Pradesh_2024,NTR,Jaggayyapeta,NANDIGAMA,Garikapadu,Jaggayyapeta,262803,16.92632,80.10886
Andhra Pradesh_2024,NTR,Vatsavai,NANDIGAMA,Mangollu,Vatsavai,265303,16.94247,80.14484
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Gudibanda,Gudibanda,263102,13.97689,77.108
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Gudibanda,Gudibanda,263102,13.9769,77.10802
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Kekathi,Gudibanda,264099,13.98618,77.15344
Andhra Pradesh_2024,Sri Sathya Sai,Gudibanda,,Kekathi,Gudibanda,264099,13.98619,77.15346
Andhra Pradesh_2024,NTR,Vatsavai,NANDIGAMA,Vatsavai,Vatsavai,268960,16.98332,80.23983
Andhra Pradesh_2024,NTR,Vatsavai,NANDIGAMA,Lingala,Vatsavai,264972,16.95944,80.21994
Andhra Pradesh_2024,Srikakulam,Gara,,Buravalli,Gara,261601,18.35075,84.00295
Andhra Pradesh_2024,Vizianagaram,Gantyada,,Gantyada,Gantyada,262788,18.14075,83.295
Andhra Pradesh_2024,Vizianagaram,Gantyada,,Gantyada,Gantyada,262788,18.1408,83.29503
Andhra Pradesh_2024,NTR,Vatsavai,NANDIGAMA,Kambampadu,Vatsavai,263813,16.93847,80.27557
Andhra Pradesh_2024,Vizianagaram,Vizianagaram,,Pinavemali,Vizianagaram,266907,18.08355,83.33177
Andhra Pradesh_2024,NTR,Penuganchiprolu,NANDIGAMA,Penuganchiprolu,Penuganchiprolu,266840,16.90994,80.23906
Andhra Pradesh_2024,Vizianagaram,Vizianagaram,,Pinavemali,Vizianagaram,266907,18.08357,83.33174
Andhra Pradesh_2024,Srikakulam,Gara,,Kalingapatnam,Gara,263757,18.33337,84.11637
Andhra Pradesh_2024,Srikakulam,Gara,,Gara,Gara,262794,18.33349,84.11632
Andhra Pradesh_2024,Srikakulam,Gara,,Gara,Gara,262794,18.33062,84.06254
Andhra Pradesh_2024,Srikakulam,Gara,,Tulugu,Gara,268644,18.30712,84.04201
Andhra Pradesh_2024,Sri Sathya Sai,Dharmavaram,Ob,Mallakalva,Dharmavaram,265187,14.38117,77.78094
Andhra Pradesh_2024,Sri Sathya Sai,Dharmavaram,B,Darsimala,Dharmavaram,262292,14.37186,77.81984
Andhra Pradesh_2024,NTR,Vissannapet,,Putrela,Vissannapet,267161,17.02346,80.72762
Andhra Pradesh_2024,Sri Sathya Sai,Tanakal,,Balasamudram,Tanakal,261128,13.88048,78.21954
Andhra Pradesh_2024,East Godavari,Korukonda,,Gadala,Korukonda,262664,17.0764,81.8194
Andhra Pradesh_2024,Sri Sathya Sai,Tanakal,,Tanakal,Tanakal,268278,13.92988,78.19155
Andhra Pradesh_2024,Vizianagaram,Merakamudidam,,Garbham,Merakamudidam,262799,18.37192,83.45116
Andhra Pradesh_2024,East Godavari,Korukonda,,Jambupatnam,Korukonda,263487,17.17767,81.83525
Andhra Pradesh_2024,Chittoor,Chittoor,,Narigapalle,Chittoor,266031,13.15429,79.10634
Andhra Pradesh_2024,East Godavari,Gokavaram,,Gokavaram,Gokavaram,262891,17.26483,81.85246
Andhra Pradesh_2024,Tirupati,Renigunta,,Krishnaih Kalva,Renigunta,264687,13.6405,79.51857
Andhra Pradesh_2024,Sri Sathya Sai,Tanakal,,Malreddipalle,Tanakal,265223,13.81419,78.14116
Andhra Pradesh_2024,Tirupati,Ramachandrapuram,,Nennuru,Ramachandrapuram,,13.55199,79.41829
Andhra Pradesh_2024,Chittoor,Chittoor,,Chittoor (M + OG),Chittoor,262134,13.17882,79.09821
Andhra Pradesh_2024,Chittoor,Chittoor,,Chittoor (M + OG),Chittoor,262134,13.17891,79.09828
Andhra Pradesh_2024,NTR,Gampalagudem,,Utukuru,Gampalagudem,268786,17.01079,80.43016
Andhra Pradesh_2024,Chittoor,Peddapanjani,,Muttukuru (Panjani),Peddapanjani,265775,13.28731,78.62266
Andhra Pradesh_2024,Tirupati,Renigunta,,Krishnapuram,Renigunta,264705,13.64165,79.50184
Andhra Pradesh_2024,Chittoor,Chittoor,,Greamspeta,Chittoor,263082,13.20015,79.09206
Andhra Pradesh_2024,Chittoor,Peddapanjani,,Peddapanjani,Peddapanjani,266753,13.29255,78.68644
Andhra Pradesh_2024,NTR,Gampalagudem,,Gampalagudem,Gampalagudem,262703,16.98986,80.51821
Andhra Pradesh_2024,Tirupati,Srikalahasti,,Srikalahasti,Srikalahasti,268063,13.7446,79.7105
Andhra Pradesh_2024,Vizianagaram,Rajam,,Boddam,Rajam,261412,18.41001,83.63255
Andhra Pradesh_2024,Chittoor,Peddapanjani,,Rayalapeta,Peddapanjani,267463,13.3317,78.71947
Andhra Pradesh_2024,Sri Sathya Sai,Tanakal,,Cheekatimanipalle,Tanakal,261745,13.82912,78.2413
Andhra Pradesh_2024,Sri Sathya Sai,Kothacheruvu,Kothacharuvu current office,Kothacheruvu,Kothacheruvu,264550,14.1833,77.7635
Andhra Pradesh_2024,Srikakulam,Ganguvarisigadam,,Ganguvarisigadam,Ganguvarisigadam,262778,18.38083,83.67761
Andhra Pradesh_2024,NTR,Tiruvuru,,Chintalapadu,Tiruvuru,262065,17.03783,80.55827
Andhra Pradesh_2024,Parvathipuram Manyam,Pachipenta,,Panasapeddi Konavalasa,Pachipenta,266424,18.52576,83.15301
Andhra Pradesh_2024,Srikakulam,Ponduru,,Ponduru,Ponduru,266973,18.35053,83.76731
Andhra Pradesh_2024,Sri Sathya Sai,Chennekothapalle,,Nyamaddala,Chennekothapalle,266216,14.25673,77.58441
Andhra Pradesh_2024,NTR,Tiruvuru,,Munukulla,Tiruvuru,265726,17.11509,80.5796
Andhra Pradesh_2024,NTR,Kanchikacherla,NANDIGAMA,Moguluru,Kanchikacherla,265552,16.63977,80.33354
Andhra Pradesh_2024,Sri Sathya Sai,Chennekothapalle,,Chennekothapalle,Chennekothapalle,261821,14.2665,77.68192
Andhra Pradesh_2024,Sri Sathya Sai,Chennekothapalle,,Poletipalle,Chennekothapalle,266958,14.26654,77.6822
Andhra Pradesh_2024,NTR,Tiruvuru,,Laxmipuram,Tiruvuru,264958,17.08486,80.62307
Andhra Pradesh_2024,Srikakulam,Ranastalam,,Pydibhimavaram,Ranastalam,267172,18.14242,83.62065
Andhra Pradesh_2024,NTR,Kanchikacherla,NANDIGAMA,Kanchikacherla,Kanchikacherla,263857,16.67413,80.39665
Andhra Pradesh_2024,NTR,G.Konduru,,Koduru,G.Konduru,264200,16.6851,80.58112
Andhra Pradesh_2024,Guntur,Kollipara,,Kollipara,Kollipara,264246,16.28883,80.25693
Andhra Pradesh_2024,Guntur,Phirangipuram,,Phirangipuram,Phirangipuram,266882,16.28877,80.25689
Andhra Pradesh_2024,NTR,Vissannapet,,Vemireddipalle,Vissannapet,269109,17.05178,80.75868
Andhra Pradesh_2024,Srikakulam,Ranastalam,,Garikipalem,Ranastalam,262808,18.20675,83.69419
Andhra Pradesh_2024,Guntur,Duggirala,,Duggirala,Duggirala,262523,16.34543,80.30451
Andhra Pradesh_2024,Guntur,Duggirala,,Duggirala,Duggirala,262523,16.34548,80.30442
Andhra Pradesh_2024,Guntur,Medikonduru,,Medikonduru,Medikonduru,265445,16.3453,80.30447
Andhra Pradesh_2024,NTR,G.Konduru,,Kuntamukkala,G.Konduru,264801,16.72071,80.62186
Andhra Pradesh_2024,Srikakulam,Laveru,,Laveru,Laveru,264946,18.23541,83.70165
Andhra Pradesh_2024,NTR,Veerullapadu,NANDIGAMA,Alluru,Veerullapadu,260728,16.76666,80.43654
Andhra Pradesh_2024,Srikakulam,Laveru,,Laveru,Laveru,264946,18.2423,83.69057
Andhra Pradesh_2024,NTR,Veerullapadu,NANDIGAMA,Veerillapadu,Veerullapadu,269028,16.82124,80.39651
Andhra Pradesh_2024,NTR,Mylavaram,,Chandrala,Mylavaram,261693,16.76848,80.71502
Andhra Pradesh_2024,Srikakulam,Laveru,,Tamada,Laveru,268268,18.18822,83.77318
Andhra Pradesh_2024,Vizianagaram,Denkada,,Modavalasa,Denkada,265527,17.96602,83.41939
Andhra Pradesh_2024,NTR,Veerullapadu,NANDIGAMA,Nandaluru,Veerullapadu,265931,16.74756,80.34342
Andhra Pradesh_2024,Srikakulam,Laveru,,Budumuru,Laveru,261580,18.24775,83.76383
Andhra Pradesh_2024,NTR,Mylavaram,,Mylavaram,Mylavaram,265786,16.77389,80.64017
Andhra Pradesh_2024,Srikakulam,Etcherla,,Etcherla,Etcherla,262634,18.27936,83.81351
Andhra Pradesh_2024,NTR,A.Konduru,,Cheemalapadu,A.Konduru,261753,16.88477,80.64262
Andhra Pradesh_2024,Srikakulam,Etcherla,,Tamminaidupeta,Etcherla,268275,18.32859,83.88348
